species,lat,lon
species,37.7749,-122.4194
species,38.099429,139.365662
species,-38.4667,145.2167
species,-38.2667,144.6667
species,-33.7833,151.2833
species,-33.7833,151.2833
species,-38.6667,143.5667
species,-38.35,144.2667
species,-38.6667,143.5667
species,-37.9167,145.0167
species,-38.3667,142.4667
species,-38.7,143.15
species,-40.7667,145.3
species,-38.3833,142.2167
species,-41.2986,148.300999
species,-41.300002,148.3
species,-36.3167,150.0667
species,-36.3,150.0167
species,-35.913889,137.546667
species,-39.8333,144
species,-33.87,151.27
species,-35.4667,150.2167
species,-33.865088,151.26782
species,-37.9167,144.9667
species,-38,145.0833
species,-38.1167,144.65
species,-39.8333,144
species,-38.05,141.1667
species,-37.9667,145.05
species,-40.5,148.1667
species,-43.3167,145.8667
species,-37.8167,148.7167
species,-37.0667,149.8333
species,-31.5,159.07
species,-38.3667,142.4667
species,-31.498358,159.06766
species,-34.57,150.87
species,-42.87878,147.361364
species,-34.565093,150.867836
species,-42.88195,147.367706
species,-38,145.0833
species,-38.3,144.6167
species,-37.95,145
species,-38.2667,144.6167
species,-38.3833,142.5
species,-37.8667,144.7667
species,-35.15,138.47
species,-35.798735,138.084448
species,-34.02,151.2
species,-31.5,159.07
species,-38.9667,146.3
species,-34.015089,151.201158
species,-31.498358,159.06766
species,-34.02,151.2
species,-30.92,153.02
species,-42.9167,147.3167
species,-34.015089,151.201158
species,-30.915074,153.017756
species,-31.53,159.07
species,-35.35,150.47
species,-41.148617,146.167697
species,-31.531691,159.067661
species,-35.348431,150.46785
species,-33.97,151.15
species,-33.965089,151.151158
species,-33.865088,151.26782
species,-33.97,151.15
species,-33.965089,151.151158
species,-33.97,151.15
species,-36.42,150.07
species,-35.05,150.67
species,-43.165282,147.834369
species,-42.998613,147.951031
species,-42.998771,147.950948
species,-43.159096,147.830427
species,-33.965089,151.151158
species,-36.415103,150.067876
species,-35.048429,150.667844
species,-37.481508,140.012506
species,-35.371799,136.851678
species,-31.5,159.07
species,-42.95,147.283333
species,-31.498358,159.06766
species,-35.551785,138.619163
species,-41.279,174.909
species,-27.415204,153.584117
species,-34.915671,138.498879
species,-34.915671,138.498879
species,-34.3333,150.9167
species,-39.065125,174.200678
species,-33.57,151.32
species,-42.981951,147.40104
species,-28.08187,153.417456
species,-42.978605,147.401194
species,-43.0167,147.4333
species,-42.915284,147.451038
species,-27.415204,153.417452
species,-27.081873,153.084122
species,-27.415204,153.417452
species,-42.999095,147.460216
species,-32.7167,152.15
species,-33.6,151.3167
species,-34.87,150.72
species,-34.865095,150.717841
species,-34.93,150.77
species,-27.081873,153.084122
species,-34.931761,150.767841
species,-34.3,150.92
species,-34.298425,150.917832
species,-35,138.511944
species,-38.3333,144.3333
species,-35.985966,137.206404
species,-35.077061,138.496102
species,-35.983333,137.179722
species,-31.554167,159.076389
species,-41.35,174.816667
species,-42.981951,147.317708
species,-42.981951,147.317708
species,-26.748541,152.917456
species,-42.959018,147.331181
species,-42.978887,147.310438
species,-46.916667,168.133333
species,-41.302408,174.888756
species,-46.933087,168.136263
species,-43,147.95
species,-42.998613,147.951031
species,-42.998771,147.950948
species,-37.8583,144.8597
species,-37.865277,144.851003
species,-38.038949,140.838521
species,-37.8667,148
species,-42.515815,173.50293
species,-40.865431,176.216015
species,-25.915208,153.25078
species,-35.442198,174.402479
species,-34.07,151.15
species,-37.8167,144.9667
species,-43.566667,172.75
species,-34.065089,151.151159
species,-35.1333,150.7
species,-34.42,150.87
species,-41.031952,145.834366
species,-41.028841,145.830819
species,-34.415093,150.867834
species,-40.765289,145.301037
species,-40.759222,145.301265
species,-34.4333,150.8833
species,-28.08187,153.417456
species,-28.106734,153.459403
species,-28.106734,153.459403
species,-33.861389,121.888333
species,-38.3167,144.9667
species,-42.4167,145.4667
species,-41.4,175.15
species,-36.75,175.583333
species,-41.389933,175.144857
species,-38.75,143.6667
species,-31.07,153.07
species,-41.659288,144.930725
species,-31.065074,153.067758
species,-33.5886,151.325
species,-28.516667,153.55
species,-43.25,145.9
species,-34.82,150.77
species,-33.27,151.5
species,-41.548631,144.867723
species,-33.265086,151.501144
species,-34.815095,150.76784
species,-35.65,150.2833
species,-31.432096,131.184456
species,-34.85,150.67
species,-34.848429,150.667842
species,-43.565163,172.739913
species,-46.574424,168.792324
species,-35.83,150.17
species,-32.1833,152.5167
species,-30.883333,153.033333
species,-35.831767,150.167862
species,-46.595862,169.423733
species,-34.05,151.15
species,-35.75,150.2667
species,-23.442778,151.915
species,-23.442778,151.915
species,-38.3936,142.2488
species,-40.919726,174.971105
species,-25.823542,153.059116
species,-25.823404,153.059383
species,-37.405,175.938
species,-31.509041,131.170291
species,-35.02,150.82
species,-35.0167,150.8167
species,-32.028201,132.47362
species,-23.45,151.9167
species,-35.015094,150.817841
species,-38.6167,143.9167
species,-36.231976,150.134309
species,-37.884444,147.970833
species,-36.1667,150.1333
species,-37.1,149.8833
species,-31.5333,159.0833
species,-31.6917,128.95
species,-31.55,159.0833
species,-43.4167,146.9667
species,-42.516667,173.5
species,-39.0291,146.3277
species,-31.5167,159.0667
species,-36.2167,150.15
species,-31.5333,159.0667
species,-31.5167,159.05
species,-36.2167,150.15
species,-31.5,159.07
species,-46.9,168.133333
species,-31.498358,159.06766
species,-32.17,152.5
species,-23.441667,151.913889
species,-23.305278,151.916389
species,-23.305278,151.916389
species,-32.165078,152.501115
species,-31.55,159.05
species,-31.716389,128.891667
species,-43.3175,147.2464
species,-30.3,153.1333
species,-31.5589,159.0769
species,-31.715449,128.884474
species,-23.906884,152.409116
species,-23.906743,152.409388
species,-37.5,149.7833
species,-30.3,153.1167
species,-23.906884,152.409116
species,-39.035444,146.32334
species,-35.916667,174.416667
species,-23.906743,152.409388
species,-34.86546,135.87201
species,-31.685169,129.09614
species,-31.682114,129.017807
species,-34.483751,135.161126
species,-31.713226,128.88503
species,-32.32,152.52
species,-31.713226,128.88503
species,-32.315078,152.517784
species,-31.1833,152.9833
species,-37.05,149.9167
species,-31.1833,152.9833
species,-35.6167,150.3
species,-23.296667,151.708056
species,-23.296667,151.708056
species,-37.67275,140.24041
species,-37.5333,149.7667
species,-40.915186,144.701367
species,-40.9,144.65
species,-37.5333,149.7833
species,-43.316667,147.033333
species,-43.3114,147.0361
species,-28.00687,153.442456
species,-23.305278,151.916389
species,-23.5075,152.091667
species,-28.006734,153.442737
species,-23.305278,151.916389
species,-23.5075,152.091667
species,-34.4559,137.364
species,-37.5667,149.85
species,-31.5,159.07
species,-23.508333,152.091667
species,-31.498358,159.06766
species,-29.343673,153.344097
species,-31.7167,128.8833
species,-31.715449,128.884474
species,-35.3333,150.4833
species,-33.6,151.32
species,-33.6,151.3167
species,-35.3333,150.4833
species,-31.7167,128.8833
species,-31.432096,131.167791
species,-35.3333,150.4833
species,-31.715449,128.884474
species,-35.33,150.48
species,-33.6,151.3167
species,-23.247222,151.778333
species,-23.247222,151.778333
species,-37.9983,147.6669
species,-35.331764,150.484516
species,-33.598421,151.317816
species,-21.498562,151.500785
species,-43.316667,172.666667
species,-35.366667,174.35
species,-35.392204,174.343778
species,-41.203155,173.323403
species,-30.066667,153.2
species,-27.1667,153.4
species,-27.316667,153.416667
species,-27.323538,153.425785
species,-23.806884,152.309116
species,-23.333333,151.958056
species,-27.523538,153.40912
species,-27.290205,153.425785
species,-27.156872,153.359118
species,-27.523401,153.409399
species,-27.290069,153.426061
species,-27.323403,153.426061
species,-27.156736,153.359394
species,-23.806743,152.309388
species,-23.333333,151.958056
species,-27.19,153.2675
species,-27.090206,153.175787
species,-27.498537,153.500785
species,-27.363889,153.177222
species,-27.090069,153.176061
species,-27.363889,153.177222
species,-38.5986,143.9013
species,-38.8069,143.4697
species,-38.3577,142.3263
species,-46.569896,168.673269
species,-33.98,151.23
species,-41.5734,144.886
species,-35.916667,174.416667
species,-33.981755,151.23449
species,-41.231963,144.684386
species,-26.581874,153.084119
species,-46.916667,168.083333
species,-41.2294,144.680675
species,-38.32,144.71
species,-38.371,144.823
species,-38.3552,144.9069
species,-38.2669,145.0158
species,-37.83,144.98
species,-37.9186,144.9888
species,-37.856,144.878
species,-38.1713,144.7055
species,-43.57419,172.752254
species,-22.79856,150.8008
species,-22.806893,150.809133
species,-22.906893,150.792467
species,-35.247634,136.884176
species,-35.233333,136.866667
species,-27.2,153.416667
species,-36.601861,174.886778
species,-40.516667,172.75
species,-41.083333,176.083333
species,-22.806755,150.809405
species,-22.906755,150.792739
species,-38.7497,143.2236
species,-38.4908,142.6836
species,-31.52,159.07
species,-30.065058,153.201074
species,-31.55,159.0833
species,-31.965274,132.568045
species,-36.6667,150
species,-41.165281,146.551025
species,-42.939529,147.66936
species,-42.956529,147.687934
species,-40.860721,144.711386
species,-38.033,147.268
species,-37.9275,147.8486
species,-30.065067,153.201069
