lon,lat,cakile.edentula_AllData_Full logistic values
-77.75,60.25,5.991846E-5
-77.25,60.25,6.092786E-5
-77.75,59.75,6.054509E-5
-77.25,59.75,6.0859555E-5
-76.75,59.75,6.2298204E-5
-76.25,59.75,6.296467E-5
-75.75,59.75,6.2990795E-5
-78.25,59.25,6.121379E-5
-77.75,59.25,6.0663933E-5
-77.25,59.25,6.212938E-5
-76.75,59.25,6.373034E-5
-76.25,59.25,6.361702E-5
-75.75,59.25,6.343427E-5
-75.25,59.25,6.367173E-5
-74.75,59.25,6.342507E-5
-74.25,59.25,6.431282E-5
-78.75,58.75,6.0935658E-5
-78.25,58.75,6.1643914E-5
-77.75,58.75,6.2756226E-5
-77.25,58.75,6.303647E-5
-76.75,58.75,6.3702486E-5
-76.25,58.75,6.41515E-5
-75.75,58.75,6.463293E-5
-75.25,58.75,6.5109714E-5
-74.75,58.75,9.100648E-5
-74.25,58.75,9.162624E-5
-73.75,58.75,9.201517E-5
-73.25,58.75,6.5842796E-5
-72.75,58.75,6.532327E-5
-72.25,58.75,6.557105E-5
-78.25,58.25,6.221675E-5
-77.75,58.25,6.2297135E-5
-77.25,58.25,6.374138E-5
-76.75,58.25,6.472072E-5
-76.25,58.25,9.102625E-5
-75.75,58.25,1.526235E-4
-75.25,58.25,1.5206453E-4
-74.75,58.25,1.5317E-4
-74.25,58.25,1.5425045E-4
-73.75,58.25,6.760274E-5
-73.25,58.25,6.6744775E-5
-72.75,58.25,6.621293E-5
-72.25,58.25,6.699868E-5
-71.75,58.25,6.710532E-5
-71.25,58.25,6.7219975E-5
-70.75,58.25,6.77048E-5
-77.25,57.75,8.845485E-5
-76.75,57.75,8.9891735E-5
-76.25,57.75,1.4990135E-4
-75.75,57.75,1.5110003E-4
-75.25,57.75,1.5342311E-4
-74.75,57.75,1.5458884E-4
-74.25,57.75,6.764782E-5
-73.75,57.75,6.817504E-5
-73.25,57.75,6.728097E-5
-72.75,57.75,9.367083E-5
-72.25,57.75,9.399377E-5
-71.75,57.75,9.5024945E-5
-71.25,57.75,9.5243806E-5
-70.75,57.75,9.5896445E-5
-70.25,57.75,1.6120617E-5
-69.75,57.75,1.5214543E-5
-69.25,57.75,1.5323742E-5
-68.75,57.75,1.545832E-5
-76.75,57.25,6.522441E-5
-76.25,57.25,1.5428662E-4
-75.75,57.25,1.5349382E-4
-75.25,57.25,1.5462481E-4
-74.75,57.25,1.5526538E-4
-74.25,57.25,9.402172E-5
-73.75,57.25,9.3790375E-5
-73.25,57.25,1.550686E-4
-72.75,57.25,1.5555897E-4
-72.25,57.25,1.5598033E-4
-71.75,57.25,2.6220776E-4
-71.25,57.25,6.2101375E-5
-70.75,57.25,5.9547914E-5
-70.25,57.25,3.5522393E-5
-69.75,57.25,2.1423773E-5
-69.25,57.25,9.421785E-6
-68.75,57.25,9.555791E-6
-68.25,57.25,1.2873514E-5
-67.75,57.25,9.657124E-6
-67.25,57.25,4.0707102E-5
-89.25,56.75,8.157892E-5
-88.75,56.75,8.056488E-5
-88.25,56.75,8.1449354E-5
-79.75,56.75,4.442946E-5
-79.25,56.75,3.524098E-5
-76.75,56.75,8.794213E-5
-76.25,56.75,1.5333059E-4
-75.75,56.75,1.012364E-4
-75.25,56.75,5.4197946E-5
-74.75,56.75,1.4909248E-4
-74.25,56.75,2.5921047E-4
-73.75,56.75,2.131226E-4
-73.25,56.75,3.696598E-4
-72.75,56.75,8.76878E-5
-72.25,56.75,5.0498642E-5
-71.75,56.75,4.8304002E-5
-71.25,56.75,4.870607E-5
-70.75,56.75,4.9427348E-5
-70.25,56.75,4.9334456E-5
-69.75,56.75,3.781743E-5
-69.25,56.75,4.9062925E-5
-68.75,56.75,2.1494154E-5
-68.25,56.75,4.5874072E-5
-67.75,56.75,1.5184484E-4
-67.25,56.75,1.5216164E-4
-66.75,56.75,4.1911917E-4
-66.25,56.75,4.186174E-4
-65.75,56.75,0.0065252394
-89.75,56.25,1.148982E-4
-89.25,56.25,1.14472656E-4
-88.75,56.25,1.1351215E-4
-88.25,56.25,8.126366E-5
-87.75,56.25,8.035271E-5
-79.75,56.25,4.455367E-5
-79.25,56.25,3.3954788E-5
-78.75,56.25,1.9443803E-5
-76.75,56.25,1.5949212E-5
-76.25,56.25,1.3431122E-4
-75.75,56.25,1.6917572E-4
-75.25,56.25,1.6535581E-4
-74.75,56.25,5.0487128E-5
-74.25,56.25,3.909559E-5
-73.75,56.25,4.762567E-5
-73.25,56.25,4.796773E-5
-72.75,56.25,4.8231406E-5
-72.25,56.25,6.540043E-5
-71.75,56.25,6.559093E-5
-71.25,56.25,5.2783224E-5
-70.75,56.25,5.22514E-5
-70.25,56.25,5.160006E-5
-69.75,56.25,5.0759616E-5
-69.25,56.25,2.9599227E-5
-68.75,56.25,5.124061E-4
-68.25,56.25,3.0852723E-4
-67.75,56.25,2.1457465E-4
-67.25,56.25,1.604953E-4
-66.75,56.25,3.529984E-4
-66.25,56.25,0.0015111441
-65.75,56.25,8.489907E-4
-65.25,56.25,0.0035966302
-64.75,56.25,0.0022911502
-64.25,56.25,0.0014505452
-63.75,56.25,0.0010003449
-89.75,55.75,2.5459737E-4
-89.25,55.75,1.9242057E-4
-88.75,55.75,1.9209049E-4
-88.25,55.75,1.898193E-4
-87.75,55.75,1.9137388E-4
-87.25,55.75,1.1547842E-4
-86.75,55.75,1.2780227E-4
-86.25,55.75,1.1420663E-4
-85.75,55.75,8.2175284E-5
-79.75,55.75,1.1358032E-5
-79.25,55.75,8.931025E-6
-77.25,55.75,2.3405299E-5
-76.75,55.75,1.3920586E-4
-76.25,55.75,1.4187246E-4
-75.75,55.75,3.887245E-5
-75.25,55.75,4.9878807E-5
-74.75,55.75,4.9577437E-5
-74.25,55.75,5.0157872E-5
-73.75,55.75,5.1561114E-5
-73.25,55.75,4.4475946E-5
-72.75,55.75,5.13154E-5
-72.25,55.75,4.0223655E-5
-71.75,55.75,4.0602663E-5
-71.25,55.75,4.0916264E-5
-70.75,55.75,4.150521E-5
-70.25,55.75,4.150017E-5
-69.75,55.75,2.9164146E-5
-69.25,55.75,8.1074155E-5
-68.75,55.75,1.3921253E-4
-68.25,55.75,1.680922E-4
-67.75,55.75,1.7025093E-4
-67.25,55.75,1.4380821E-4
-66.75,55.75,0.0017353031
-66.25,55.75,9.6700015E-4
-65.75,55.75,6.68938E-4
-65.25,55.75,7.8769325E-4
-64.75,55.75,6.7097135E-4
-64.25,55.75,0.002419859
-63.75,55.75,0.0023560075
-63.25,55.75,6.682804E-4
-62.75,55.75,1.4399015E-4
-62.25,55.75,1.9277814E-4
-89.75,55.25,4.6408636E-4
-89.25,55.25,7.715011E-4
-88.75,55.25,4.6157272E-4
-88.25,55.25,4.5658788E-4
-87.75,55.25,3.2112544E-4
-87.25,55.25,1.9231466E-4
-86.75,55.25,1.9145991E-4
-86.25,55.25,1.6997935E-4
-85.75,55.25,1.3292267E-4
-85.25,55.25,1.00456935E-4
-84.75,55.25,1.0045447E-4
-84.25,55.25,1.000323E-4
-83.75,55.25,7.190118E-5
-83.25,55.25,7.1486254E-5
-82.75,55.25,1.1555711E-4
-82.25,55.25,1.15636045E-4
-78.25,55.25,2.3575332E-5
-77.75,55.25,1.0582492E-4
-77.25,55.25,2.530234E-5
-76.75,55.25,3.689485E-5
-76.25,55.25,4.0561965E-5
-75.75,55.25,4.0510648E-5
-75.25,55.25,3.476452E-5
-74.75,55.25,3.50879E-5
-74.25,55.25,4.0123512E-5
-73.75,55.25,4.03849E-5
-73.25,55.25,4.0749394E-5
-72.75,55.25,4.075976E-5
-72.25,55.25,4.1067422E-5
-71.75,55.25,2.5352903E-5
-71.25,55.25,3.613414E-5
-70.75,55.25,3.673146E-5
-70.25,55.25,1.6102555E-5
-69.75,55.25,2.4532892E-5
-69.25,55.25,5.5186305E-5
-68.75,55.25,5.554481E-5
-68.25,55.25,8.163341E-5
-67.75,55.25,3.846092E-4
-67.25,55.25,3.8290073E-4
-66.75,55.25,5.658527E-4
-66.25,55.25,8.0717274E-4
-65.75,55.25,9.224653E-4
-65.25,55.25,0.0013086245
-64.75,55.25,5.338229E-4
-64.25,55.25,5.7315885E-4
-63.75,55.25,0.0023982795
-63.25,55.25,0.0023409817
-62.75,55.25,6.665446E-4
-62.25,55.25,2.2793577E-4
-61.75,55.25,2.515675E-4
-61.25,55.25,1.8857258E-4
-60.75,55.25,6.834241E-4
-60.25,55.25,0.0013239548
-90.25,54.75,9.870804E-4
-89.75,54.75,9.928981E-4
-89.25,54.75,9.910834E-4
-88.75,54.75,9.907576E-4
-88.25,54.75,9.788566E-4
-87.75,54.75,6.783334E-4
-87.25,54.75,6.7573687E-4
-86.75,54.75,6.7379355E-4
-86.25,54.75,4.0737423E-4
-85.75,54.75,4.065683E-4
-85.25,54.75,4.0551697E-4
-84.75,54.75,1.7061927E-4
-84.25,54.75,1.6907752E-4
-83.75,54.75,1.6715883E-4
-83.25,54.75,1.6539349E-4
-82.75,54.75,1.00156656E-4
-82.25,54.75,9.9947545E-5
-79.75,54.75,6.980821E-5
-79.25,54.75,4.7446585E-5
-78.75,54.75,7.417397E-5
-78.25,54.75,1.767952E-4
-77.75,54.75,4.2650194E-5
-77.25,54.75,3.9055984E-5
-76.75,54.75,3.9151873E-5
-76.25,54.75,4.9029866E-5
-75.75,54.75,4.9777755E-5
-75.25,54.75,3.497606E-5
-74.75,54.75,4.0337953E-5
-74.25,54.75,4.0540013E-5
-73.75,54.75,4.0975992E-5
-73.25,54.75,2.5083607E-5
-72.75,54.75,2.4595663E-5
-72.25,54.75,2.4790781E-5
-71.75,54.75,2.71745E-5
-71.25,54.75,1.1519308E-4
