lon,lat,cakile.edentula_AllData_Full logistic values
-61.75,56.62,0.002243817
-63.25,56.12,3.0331403E-5
-62.75,56.12,7.2333285E-5
-62.25,56.12,9.169084E-5
-61.75,56.12,0.007757762
-65.25,55.62,4.1928393E-4
-64.75,55.62,9.2785544E-4
-64.25,55.62,3.2061845E-4
-62.75,55.62,3.142209E-5
-62.25,55.62,3.550888E-4
-61.75,55.62,4.5674827E-4
-61.25,55.62,0.001271166
-60.75,55.62,0.0060433983
-66.75,55.12,6.1386917E-4
-66.25,55.12,5.256313E-4
-65.75,55.12,5.6524045E-4
-65.25,55.12,5.846786E-4
-64.25,55.12,4.2070937E-4
-63.75,55.12,3.8227165E-4
-63.25,55.12,2.3598518E-4
-62.75,55.12,2.6102157E-4
-62.25,55.12,4.8532616E-5
-61.75,55.12,2.745917E-4
-61.25,55.12,0.0021651736
-60.75,55.12,0.0017469944
-60.25,55.12,0.0049222843
-68.75,54.62,1.7289055E-4
-68.25,54.62,4.4104032E-4
-67.75,54.62,0.0037061055
-67.25,54.62,4.623443E-4
-66.75,54.62,4.774227E-4
-65.25,54.62,9.458986E-4
-64.75,54.62,4.1864478E-4
-64.25,54.62,3.193051E-4
-63.75,54.62,4.393311E-4
-63.25,54.62,4.2454677E-4
-62.75,54.62,1.0957692E-4
-62.25,54.62,2.0579043E-4
-61.25,54.62,2.888481E-4
-60.75,54.62,0.002051651
-60.25,54.62,0.0010062306
-59.75,54.62,0.0012216617
-59.25,54.62,0.001518946
-58.75,54.62,0.0020727632
-58.25,54.62,0.006501102
-57.75,54.62,0.017457549
-57.25,54.62,0.017137287
-70.25,54.12,1.13661765E-4
-69.25,54.12,1.5706335E-4
-68.75,54.12,4.980164E-4
-68.25,54.12,9.838998E-4
-67.75,54.12,8.660761E-4
-67.25,54.12,5.293399E-4
-66.75,54.12,4.7408717E-4
-65.75,54.12,3.958068E-4
-65.25,54.12,4.2037785E-4
-63.75,54.12,2.206595E-4
-61.75,54.12,2.1494136E-4
-61.25,54.12,3.2547466E-4
-60.75,54.12,2.9901878E-4
-60.25,54.12,7.975753E-4
-59.75,54.12,0.001702794
-59.25,54.12,0.0025733926
-58.75,54.12,0.005003259
-58.25,54.12,0.03220115
-71.75,53.62,4.1547053E-5
-70.75,53.62,9.6599964E-5
-69.75,53.62,3.7465035E-4
-69.25,53.62,4.5726815E-4
-68.25,53.62,3.0142796E-4
-67.75,53.62,0.0011901322
-67.25,53.62,4.619313E-4
-66.75,53.62,4.2428958E-4
-66.25,53.62,0.0010452955
-65.75,53.62,4.7465056E-4
-65.25,53.62,9.91928E-4
-64.75,53.62,8.4974576E-4
-64.25,53.62,0.0010293926
-63.75,53.62,2.187568E-4
-63.25,53.62,9.3325376E-5
-62.75,53.62,1.8818246E-4
-62.25,53.62,8.6579705E-5
-61.75,53.62,1.14632734E-4
-61.25,53.62,7.46853E-4
-60.75,53.62,4.951332E-4
-60.25,53.62,5.659222E-4
-58.75,53.62,0.0030479608
-58.25,53.62,0.0027995838
-57.75,53.62,0.016336124
-57.25,53.62,0.03570749
-73.75,53.12,9.017593E-5
-73.25,53.12,9.105089E-5
-72.75,53.12,1.8086328E-4
-72.25,53.12,1.21051984E-4
-71.75,53.12,8.8645E-5
-71.25,53.12,1.0797994E-4
-70.75,53.12,1.20010765E-4
-70.25,53.12,1.4042486E-4
-68.75,53.12,6.392579E-4
-68.25,53.12,5.9091777E-4
-67.75,53.12,4.7770757E-4
-66.75,53.12,4.872123E-4
-65.25,53.12,4.4516617E-4
-64.75,53.12,5.791642E-4
-64.25,53.12,4.4099844E-4
-63.75,53.12,3.5199316E-4
-63.25,53.12,4.1220695E-4
-62.75,53.12,2.8133314E-4
-62.25,53.12,1.3864008E-4
-61.25,53.12,3.7719327E-4
-60.75,53.12,4.9879774E-4
-60.25,53.12,0.0013492022
-59.75,53.12,8.360847E-4
-59.25,53.12,0.0020821346
-58.75,53.12,0.001157687
-58.25,53.12,0.005112741
-57.75,53.12,0.01610373
-57.25,53.12,0.044463515
-56.75,53.12,0.06659542
-56.25,53.12,0.10464967
-55.75,53.12,0.05880285
-74.75,52.62,5.264551E-5
-74.25,52.62,1.3643963E-4
-73.75,52.62,1.5673466E-4
-72.25,52.62,1.0012992E-4
-71.75,52.62,2.9227932E-4
-71.25,52.62,7.4307347E-4
-69.75,52.62,4.716797E-4
-68.25,52.62,5.327405E-4
-67.75,52.62,4.2761915E-4
-67.25,52.62,6.624674E-4
-66.75,52.62,8.663628E-4
-66.25,52.62,6.015619E-4
-65.75,52.62,2.806622E-5
-64.75,52.62,2.2748958E-4
-64.25,52.62,6.0452527E-4
-63.75,52.62,1.405597E-4
-63.25,52.62,1.14480026E-4
-62.75,52.62,2.740019E-4
-62.25,52.62,4.5402523E-4
-61.75,52.62,1.796176E-4
-61.25,52.62,2.9539788E-4
-60.75,52.62,2.0964092E-4
-60.25,52.62,4.963148E-4
-59.75,52.62,7.746183E-4
-59.25,52.62,0.0029212197
-57.75,52.62,0.01668614
-57.25,52.62,0.056856263
-56.75,52.62,0.1158206
-55.75,52.62,0.15956698
-77.25,52.12,5.77495E-5
-76.75,52.12,1.6255831E-4
-76.25,52.12,1.5080617E-4
-75.75,52.12,1.7958623E-4
-75.25,52.12,1.7043331E-4
-74.75,52.12,8.2051E-5
-74.25,52.12,9.8286124E-5
-73.75,52.12,6.922618E-5
-73.25,52.12,7.612654E-5
-72.75,52.12,7.6206794E-5
-72.25,52.12,5.7263544E-4
-71.75,52.12,3.398937E-4
-71.25,52.12,6.435227E-4
-70.75,52.12,2.4815585E-4
-70.25,52.12,0.003989033
-69.75,52.12,6.461602E-4
-69.25,52.12,0.003766188
-68.75,52.12,6.617362E-4
-67.75,52.12,0.0013089695
-67.25,52.12,6.19123E-4
-66.75,52.12,7.4146746E-4
-66.25,52.12,5.951799E-5
-65.75,52.12,1.8242532E-5
-65.25,52.12,4.2039577E-5
-64.75,52.12,1.4136187E-4
-64.25,52.12,6.2638934E-4
-63.75,52.12,2.497853E-4
-63.25,52.12,3.4820396E-4
-62.75,52.12,2.4534375E-4
-62.25,52.12,1.3514921E-4
-61.75,52.12,2.6233547E-4
-61.25,52.12,3.2876557E-4
-60.75,52.12,5.2796066E-4
-60.25,52.12,5.646711E-4
-59.75,52.12,0.0013131828
-59.25,52.12,0.0053313416
-58.75,52.12,0.006060679
-58.25,52.12,0.03203672
-57.75,52.12,0.030517852
-57.25,52.12,0.18074214
-56.75,52.12,0.38430628
-56.25,52.12,0.3118129
-55.75,52.12,0.08242895
-78.25,51.62,6.279513E-5
-77.75,51.62,2.7824195E-5
-77.25,51.62,3.2506385E-5
-76.75,51.62,6.646371E-5
-76.25,51.62,2.2253898E-4
-75.75,51.62,2.3190712E-4
-75.25,51.62,2.3284781E-4
-74.75,51.62,3.959236E-4
-74.25,51.62,3.6869184E-4
-73.75,51.62,3.0003412E-4
-73.25,51.62,6.900338E-4
-72.75,51.62,6.961081E-4
-72.25,51.62,7.2172214E-4
-71.75,51.62,5.515491E-4
-71.25,51.62,3.9718338E-4
-70.75,51.62,2.0960103E-4
-70.25,51.62,0.0024327836
-69.75,51.62,0.0015970529
-69.25,51.62,0.0025721726
-67.75,51.62,3.4320817E-4
-67.25,51.62,0.0010850605
-66.75,51.62,8.92316E-4
-66.25,51.62,2.7248816E-4
-65.75,51.62,8.029515E-6
-65.25,51.62,1.2652748E-5
-64.75,51.62,3.4303378E-4
-64.25,51.62,1.2253768E-4
-63.75,51.62,2.7433826E-4
-63.25,51.62,2.148342E-4
-62.75,51.62,6.540482E-4
-62.25,51.62,2.4718262E-4
-61.75,51.62,7.3599594E-4
-61.25,51.62,8.0364104E-4
-60.75,51.62,0.0015536704
-60.25,51.62,0.0013631097
-59.25,51.62,0.015759233
-58.75,51.62,0.035440337
-58.25,51.62,0.06737401
