Year	Mean_OccupSuit	Std_error
0	5.65899e-05	6.28466e-10
1	0.000301624	1.15739e-05
2	0.000443099	1.4163e-05
3	0.000552883	1.57176e-05
4	0.000625318	1.655e-05
5	0.000712467	1.98671e-05
6	0.000776413	2.3396e-05
7	0.000809801	2.37066e-05
8	0.000855639	2.35504e-05
9	0.000886198	2.44658e-05
10	0.000934299	2.69481e-05
11	0.00097278	2.95717e-05
12	0.000992587	3.12287e-05
13	0.00100843	3.14656e-05
14	0.00104522	3.22281e-05
15	0.00108313	3.20527e-05
16	0.00110463	3.65284e-05
17	0.00113067	3.9576e-05
18	0.00115104	3.80189e-05
19	0.00116349	4.13534e-05
20	0.00114595	4.15878e-05
21	0.001155	4.4239e-05
22	0.00118443	4.92831e-05
23	0.00121781	5.2765e-05
24	0.00119914	5.27173e-05
25	0.00120084	5.40915e-05
26	0.00122461	5.49397e-05
27	0.0012297	5.48769e-05
28	0.00123706	5.49309e-05
29	0.00124554	5.67012e-05
30	0.00124215	5.75331e-05
31	0.00125347	6.13637e-05
32	0.00123309	6.42173e-05
33	0.00119744	5.93014e-05
34	0.00118612	5.99481e-05
35	0.00119574	6.20415e-05
36	0.00120197	6.33033e-05
37	0.00122347	6.78544e-05
38	0.00126139	7.07781e-05
39	0.00127497	7.04123e-05
40	0.00124781	7.02832e-05
41	0.0012495	6.92833e-05
42	0.00126139	6.9146e-05
43	0.00128063	7.19043e-05
44	0.00128176	7.3377e-05
45	0.00126195	7.15428e-05
46	0.0012761	7.43405e-05
47	0.00126082	7.31284e-05
48	0.0012512	7.30833e-05
49	0.00125686	7.48389e-05
50	0.0012495	7.54046e-05
51	0.00125177	7.64679e-05
52	0.0012495	7.50822e-05
53	0.00122857	7.51021e-05
54	0.00123083	7.58354e-05
55	0.00119574	7.31265e-05
56	0.00119574	7.50433e-05
57	0.00120084	7.97856e-05
58	0.00118952	8.07384e-05
59	0.00118612	8.1054e-05
60	0.00120933	8.16613e-05
61	0.00119744	8.1352e-05
62	0.00116971	8.19949e-05
63	0.00115896	8.29419e-05
64	0.00116858	8.19646e-05
65	0.00114368	8.14258e-05
66	0.00115557	8.47081e-05
67	0.0011516	8.3714e-05
68	0.00114934	8.35218e-05
69	0.00111878	8.1269e-05
70	0.00111312	8.12738e-05
71	0.00111425	8.36031e-05
72	0.00113236	8.45871e-05
73	0.00112614	8.5174e-05
74	0.00112784	8.7081e-05
75	0.00111652	8.81465e-05
76	0.00112218	8.96067e-05
77	0.00112218	9.28407e-05
78	0.00112161	9.40396e-05
79	0.00113519	9.41923e-05
80	0.00113236	9.65117e-05
81	0.00113633	9.6358e-05
82	0.00114481	9.86772e-05
83	0.00116802	0.000105437
84	0.0011516	0.000103072
85	0.00115104	0.00010336
86	0.00117198	0.000106435
87	0.00116802	0.000107803
88	0.0011567	0.00010659
89	0.00118386	0.000109448
90	0.00119065	0.000108095
91	0.00117764	0.000106978
92	0.00116405	0.000105614
93	0.00116688	0.000105958
94	0.00115783	0.000105712
95	0.00114595	0.000102133
96	0.00117028	0.000104113
97	0.00114934	0.000105719
98	0.00114312	0.000104204
99	0.00114708	0.000105842
100	0.00115387	0.000107501
101	0.00113236	0.000104137
102	0.0011567	0.000106283
103	0.00116122	0.000108709
104	0.00114764	0.000105907
105	0.00116915	0.000105761
106	0.00116462	0.000105828
107	0.0011816	0.000110303
108	0.00114538	0.000106668
109	0.00114991	0.000109841
110	0.0011284	0.000109964
111	0.00113463	0.000109314
112	0.00113406	0.000108879
113	0.00109841	0.00010413
114	0.00110237	0.000104481
115	0.00110294	0.00010715
116	0.00111029	0.000109926
117	0.00112274	0.000111143
118	0.00109105	0.000111109
119	0.00111086	0.000113376
120	0.00107691	0.000109975
121	0.00108539	0.000112066
122	0.00108992	0.000112237
123	0.00110577	0.000115767
124	0.00110577	0.000117417
125	0.00108426	0.000114887
126	0.00111029	0.000122456
127	0.00110124	0.000123067
128	0.00110011	0.00012414
129	0.00108709	0.000119601
130	0.00106955	0.000119536
131	0.00107634	0.000118338
132	0.0011052	0.000123358
133	0.00108879	0.000124215
134	0.00110237	0.000125771
135	0.00110746	0.000127357
136	0.00108426	0.000125643
137	0.00109671	0.000127173
138	0.00108596	0.000126898
139	0.00108653	0.000128449
140	0.00109954	0.000128453
141	0.00107747	0.000123778
142	0.00106106	0.000125763
143	0.00104012	0.00012486
144	0.00103503	0.000122024
145	0.00103163	0.000123538
146	0.00105144	0.000126795
147	0.00103673	0.000125114
148	0.00105257	0.000127263
149	0.0010305	0.000124875
150	0.00100617	0.000121517
151	0.00101805	0.000122427
152	0.000999378	0.000118958
153	0.000986928	0.000118549
154	0.000997114	0.000121948
155	0.00099485	0.000118235
156	0.00100504	0.00011967
157	0.000990889	0.000120122
158	0.000981835	0.000118383
159	0.000982966	0.000121336
160	0.000986362	0.000122418
161	0.000956935	0.000118306
162	0.00095354	0.000119189
163	0.000954671	0.000122353
164	0.000949013	0.000117564
165	0.000933733	0.00011982
166	0.000951842	0.000123821
167	0.000955237	0.000118303
168	0.000939392	0.000118111
169	0.000928074	0.000123213
170	0.000907702	0.000119899
171	0.000920718	0.000123718
172	0.000913927	0.000123565
173	0.000939392	0.000126766
174	0.000938826	0.000128066
175	0.000933733	0.000124481
176	0.000927508	0.000123307
177	0.000920718	0.000122097
178	0.000937129	0.000123166
179	0.000935431	0.000124888
180	0.000933733	0.000122749
181	0.000926377	0.000125524
182	0.000942222	0.000126509
183	0.000954671	0.000128214
184	0.000928074	0.000125381
185	0.00093826	0.000127644
186	0.000939392	0.00012759
187	0.000935431	0.000125111
188	0.000954106	0.000122984
189	0.000952408	0.00012285
190	0.000941656	0.000126673
191	0.000941656	0.000125653
192	0.000945617	0.000123649
193	0.000921283	0.000122285
194	0.000895818	0.000122613
195	0.000890159	0.000124832
196	0.000912795	0.00013421
197	0.000904872	0.000129169
198	0.000912795	0.00013133
199	0.000895818	0.000130587
200	0.000898082	0.000132341
201	0.000904306	0.000133832
202	0.000896384	0.000132636
203	0.000890725	0.000134282
204	0.000877143	0.000130345
205	0.000863562	0.000132272
206	0.000859035	0.000134257
207	0.000862996	0.000134455
208	0.000860166	0.000134201
209	0.000882236	0.000140699
210	0.000864694	0.000139783
211	0.000881105	0.00013861
212	0.000879407	0.000145628
213	0.000864694	0.000146879
214	0.000874314	0.000150297
215	0.000888461	0.000149458
216	0.000900345	0.000147991
217	0.000882236	0.000145816
218	0.00087488	0.000143846
219	0.000873182	0.000146903
220	0.000855639	0.00014305
221	0.000864128	0.000141656
222	0.000865825	0.000141264
223	0.000898648	0.000147082
224	0.00089695	0.000146637
225	0.00090657	0.000150962
226	0.000895252	0.000148053
227	0.000903741	0.000147267
228	0.000876012	0.0001415
229	0.000860732	0.000138124
230	0.000871484	0.000142472
231	0.000885632	0.000143731
232	0.00089695	0.000145619
233	0.000887895	0.000145197
234	0.000879407	0.000146387
235	0.000892423	0.000147903
236	0.000878275	0.000141374
237	0.000898648	0.000144199
238	0.000878841	0.000142937
239	0.000882802	0.000141501
240	0.000874314	0.000141337
241	0.000898082	0.00014575
242	0.000857903	0.000136897
243	0.000847151	0.000134626
244	0.000852244	0.000139224
245	0.000860732	0.000135947
246	0.000849414	0.000136067
247	0.000853941	0.000136201
248	0.000861298	0.000140108
249	0.000860166	0.000143697
250	0.000871484	0.000147901
251	0.000853376	0.000146926
252	0.000839228	0.000147393
253	0.000855639	0.000146773
254	0.000851678	0.000144975
255	0.000848848	0.000138357
256	0.000851678	0.000141454
257	0.000832437	0.000136306
258	0.000835267	0.000137504
259	0.000833003	0.000140832
260	0.000821119	0.000142225
261	0.00080584	0.000137793
262	0.00080584	0.000136865
263	0.000799049	0.00013031
264	0.000806406	0.000130137
265	0.00079622	0.000126795
266	0.000795654	0.00012945
267	0.000791127	0.000126447
268	0.000807538	0.000129769
269	0.000797352	0.000127626
270	0.000776979	0.000125205
271	0.000766793	0.00012357
272	0.00077132	0.000129349
273	0.000770754	0.000126776
274	0.000772452	0.000123625
275	0.000768491	0.000125672
276	0.000739064	0.000119478
277	0.000748684	0.000121834
278	0.000753211	0.000124681
279	0.000775282	0.000128956
280	0.000776413	0.000130993
281	0.000744157	0.000127393
282	0.000746421	0.000129804
283	0.000735103	0.000127918
284	0.000735103	0.000125436
285	0.000730576	0.000129178
286	0.000740762	0.000130128
287	0.00073963	0.000133573
288	0.000736235	0.000131507
289	0.000750948	0.000135164
290	0.00073963	0.00013184
291	0.000761134	0.000136432
292	0.000727746	0.000131842
293	0.000737366	0.000133113
294	0.000744723	0.000130765
295	0.000737932	0.000134032
296	0.000731707	0.00013744
297	0.000746987	0.000139031
298	0.000735669	0.000135811
299	0.00070511	0.000128825
