Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	5320000	5320	1	-180	180	-58	84
0	1	0	350626	5320	1	-180	180	-58	84
0	2	0	36218	5295	0.995301	-180	180	-58	84
0	3	0	4754	3022	0.568045	-180	180	-58	84
0	4	0	753	691	0.129887	-180	180	-52	84
0	5	0	124	124	0.0233083	-180	176	-56	84
0	6	0	19	19	0.00357143	-128	112	-36	78
0	7	0	2	2	0.00037594	108	122	34	58
0	8	0	0	0	0	0	0	0	0
1	0	0	5320000	5320	1	-180	180	-58	84
1	1	0	350600	5320	1	-180	180	-58	84
1	2	0	35957	5303	0.996805	-180	180	-58	84
1	3	0	4649	3003	0.564474	-178	180	-56	84
1	4	0	738	682	0.128195	-178	180	-52	84
1	5	0	122	119	0.0223684	-174	166	-46	82
1	6	0	28	28	0.00526316	-78	164	-36	82
1	7	0	3	3	0.00056391	-132	142	-6	56
1	8	0	0	0	0	0	0	0	0
