Year	Mean_OccupSuit	Std_error
0	0.00269542	1.57485e-07
1	0.0208895	0.000809872
2	0.0312668	0.00144595
3	0.0362534	0.00164999
4	0.0389488	0.00245605
5	0.045283	0.00345182
6	0.0473046	0.00429226
7	0.0490566	0.00436106
8	0.0509434	0.00334251
9	0.0539084	0.00462517
10	0.0586253	0.00565128
11	0.0615903	0.00531183
12	0.0641509	0.00564395
13	0.0644205	0.00602312
14	0.0668464	0.00581999
15	0.0653639	0.0057152
16	0.0671159	0.00613598
17	0.0687332	0.00602714
18	0.074124	0.00639748
19	0.0753369	0.00660988
20	0.0752022	0.00649702
21	0.0743935	0.00631109
22	0.0737197	0.00684271
23	0.0746631	0.00767445
24	0.0731806	0.00859451
25	0.0783019	0.00932736
26	0.0769542	0.0101699
27	0.0793801	0.0101102
28	0.080593	0.0110439
29	0.0787062	0.0103835
30	0.0815364	0.0122077
31	0.0816712	0.0118503
32	0.0781671	0.0106688
33	0.0781671	0.0102972
34	0.0791105	0.0102127
35	0.0807278	0.010156
36	0.080593	0.0107944
37	0.0831536	0.0109176
38	0.077628	0.0114554
39	0.0747978	0.0107915
40	0.0780323	0.0118881
41	0.0784367	0.0118972
42	0.0768194	0.0107573
43	0.0808625	0.0115568
44	0.0824798	0.0123631
45	0.0843666	0.0135431
46	0.0857143	0.0139744
47	0.087062	0.0146952
48	0.0890836	0.0148322
49	0.0878706	0.0145192
50	0.0889488	0.0157169
51	0.0865229	0.0157153
52	0.0892183	0.0151357
53	0.0871968	0.0146468
54	0.0896226	0.0154099
55	0.0892183	0.0151903
56	0.0898922	0.0150693
57	0.0902965	0.0166642
58	0.0923181	0.0167635
59	0.0923181	0.0167478
60	0.0928571	0.0167336
61	0.0923181	0.0168332
62	0.0894879	0.0161964
63	0.0908356	0.0170084
64	0.0923181	0.0165892
65	0.0873315	0.0160218
66	0.0908356	0.0168019
67	0.0907008	0.0173815
68	0.0907008	0.0174995
69	0.0901617	0.0174688
70	0.0846361	0.0158712
71	0.0878706	0.0166239
72	0.0862534	0.0165962
73	0.0845013	0.0160837
74	0.0827493	0.0165709
75	0.0819407	0.0164322
76	0.0807278	0.0156208
77	0.0814016	0.0155959
78	0.0832884	0.0167413
79	0.0827493	0.0173305
80	0.0801887	0.017625
81	0.0831536	0.0195416
82	0.082345	0.0189984
83	0.0812668	0.0183221
84	0.0801887	0.0193143
85	0.0791105	0.0181116
86	0.0812668	0.0186485
87	0.0809973	0.0184979
88	0.078841	0.0184999
89	0.0793801	0.0183247
90	0.0822102	0.0201055
91	0.0820755	0.0189346
92	0.082345	0.0196748
93	0.0811321	0.0189456
94	0.0820755	0.019686
95	0.0816712	0.0195984
96	0.0843666	0.0194288
97	0.0859838	0.0207942
98	0.0898922	0.0214329
99	0.0907008	0.0217163
100	0.0925876	0.0215718
101	0.0897574	0.021683
102	0.090027	0.0208939
103	0.0919137	0.0219214
104	0.0867925	0.0205672
105	0.0858491	0.0203093
106	0.0869272	0.0208702
107	0.0871968	0.0206591
108	0.083558	0.0203757
109	0.0818059	0.0184876
110	0.0820755	0.0195564
111	0.0815364	0.0196366
112	0.0830189	0.0185945
113	0.0839623	0.0188423
114	0.0827493	0.0175446
115	0.0845013	0.017723
116	0.0832884	0.0180912
117	0.0851752	0.0182887
118	0.0831536	0.017595
119	0.0854447	0.018225
120	0.0843666	0.0180145
121	0.08531	0.0188658
122	0.0847709	0.0186652
123	0.0838275	0.018904
124	0.0842318	0.0198248
125	0.0874663	0.0206331
126	0.0832884	0.0198304
127	0.0822102	0.0192313
128	0.0819407	0.0193232
129	0.0836927	0.0191075
130	0.0822102	0.0193172
131	0.0820755	0.0196152
132	0.0809973	0.0189261
133	0.0796496	0.0186781
134	0.0807278	0.0196912
135	0.0855795	0.0219688
136	0.0854447	0.0220659
137	0.0863881	0.0231419
138	0.0865229	0.0220051
139	0.0869272	0.0219734
140	0.0859838	0.0218033
141	0.0836927	0.0201791
142	0.0838275	0.020497
143	0.0843666	0.0211487
144	0.0854447	0.0210894
145	0.0828841	0.0214152
146	0.0828841	0.0207742
147	0.0832884	0.0211597
148	0.0824798	0.021757
149	0.083558	0.0215277
150	0.0803235	0.0204264
151	0.0757412	0.0196966
152	0.0761456	0.0203363
153	0.0747978	0.019487
154	0.0768194	0.0198499
155	0.0765499	0.0205196
156	0.0731806	0.0203282
157	0.0756065	0.0211375
158	0.0725067	0.0198853
159	0.0730458	0.0203001
160	0.0704852	0.018932
161	0.0706199	0.0194537
162	0.0733154	0.0200977
163	0.0752022	0.0210574
164	0.0735849	0.0206924
165	0.0768194	0.0216045
166	0.0737197	0.0205739
167	0.0761456	0.0211134
168	0.0791105	0.0210423
169	0.0781671	0.0234474
170	0.0793801	0.0241039
171	0.0818059	0.0240734
172	0.0854447	0.0250198
173	0.0862534	0.0245597
174	0.0824798	0.0242378
175	0.0807278	0.0240662
176	0.0824798	0.0251939
177	0.0816712	0.0254556
178	0.0828841	0.0266744
179	0.083558	0.0275159
180	0.0832884	0.0274099
181	0.0815364	0.027436
182	0.0834232	0.0274383
183	0.0867925	0.0280348
184	0.0866577	0.0278483
185	0.0866577	0.0280721
186	0.0865229	0.0275531
187	0.0876011	0.0276388
188	0.0851752	0.0275142
189	0.0836927	0.0266594
190	0.0881402	0.0288703
191	0.0858491	0.0279576
192	0.0904313	0.02932
193	0.0884097	0.0283384
194	0.0880054	0.0274336
195	0.0847709	0.0265889
196	0.0839623	0.0267845
197	0.0838275	0.0269458
198	0.0843666	0.0269131
199	0.0861186	0.0276793
200	0.0890836	0.0291245
201	0.0865229	0.027559
202	0.0874663	0.0273138
203	0.0874663	0.0266692
204	0.0909704	0.0270933
205	0.0909703	0.0270523
206	0.0894879	0.0265993
207	0.0867925	0.0254691
208	0.0897574	0.0276346
209	0.0877358	0.0255263
210	0.0881402	0.0259736
211	0.0846361	0.0247519
212	0.0869272	0.0260257
213	0.0866577	0.0265582
214	0.083558	0.0254721
215	0.0807278	0.0243853
216	0.0814016	0.0246722
217	0.0834232	0.0248525
218	0.0842318	0.0264929
219	0.0838275	0.0256819
220	0.0838275	0.0259212
221	0.0859838	0.0263521
222	0.0866577	0.0266629
223	0.0838275	0.025399
224	0.0849057	0.0264905
225	0.0866577	0.0269093
226	0.0850404	0.0274824
227	0.0832884	0.0270295
228	0.0865229	0.0280662
229	0.0859838	0.0284
230	0.0863881	0.0288138
231	0.0890836	0.0291467
232	0.0862534	0.0276403
233	0.0933962	0.0288549
234	0.090566	0.0279104
235	0.093531	0.0297408
236	0.0912399	0.029683
237	0.0867925	0.0283604
238	0.0881402	0.0288284
239	0.087062	0.027698
240	0.0858491	0.0267912
241	0.0865229	0.0278626
242	0.0873315	0.0278075
243	0.0916442	0.0289498
244	0.090027	0.0282025
245	0.0908356	0.0290091
246	0.0894879	0.0282692
247	0.0893531	0.0283254
248	0.090027	0.0280741
249	0.0892183	0.0286511
250	0.0865229	0.0278322
251	0.0869272	0.0269873
252	0.0854447	0.0261247
253	0.0839623	0.027292
254	0.0850404	0.0274001
255	0.0830189	0.0268523
256	0.082345	0.0265312
257	0.0818059	0.0271683
258	0.0812668	0.0257918
259	0.0807278	0.0253494
260	0.0784367	0.0251458
261	0.0783019	0.024763
262	0.0752022	0.0234575
263	0.0757412	0.0235408
264	0.0743935	0.0228844
265	0.0756065	0.022046
266	0.0766846	0.0225796
267	0.0753369	0.0215591
268	0.0743935	0.0216071
269	0.0747978	0.0215626
270	0.0757412	0.0218744
271	0.0780323	0.0228409
272	0.0781671	0.0235402
273	0.0781671	0.0237348
274	0.0799191	0.0243659
275	0.0818059	0.0245038
276	0.0785714	0.0237968
277	0.080593	0.0241961
278	0.0800539	0.0238901
